Minneapolis Weather Bureau plus MSP Average Monthly 1800 Hour Dewpoint Temperature (degrees F),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jun-Aug
1902,,,,,,,,,49.4,47.3,33.8,14.6,
1903,12.1,12.3,32.3,43.7,53.7,53.4,65.6,64.7,57.6,46.6,26.9,10.9,61.2
1904,7.4,5.9,25.3,31.9,51.8,63.6,61.7,60.6,56.1,44.5,30.9,17.7,62.0
1905,5.2,10.3,28.6,31.7,43.7,59.8,61.5,63.0,55.7,37.8,29.5,20.5,61.4
1906,18.9,13.6,18.1,42.6,48.1,55.8,58.1,62.3,57.6,38.5,29.7,17.7,58.7
1907,6.2,14.3,26.5,28.1,37.1,53.6,59.4,57.8,51.0,38.7,28.4,22.4,56.9
1908,15.5,17.5,24.2,38.1,47.0,58.8,64.7,57.2,54.7,40.3,30.8,19.5,60.2
1909,14.7,17.4,25.1,31.9,47.7,57.2,59.5,62.1,51.1,37.5,31.8,10.8,59.6
1910,13.9,10.5,33.3,35.7,33.7,51.5,55.2,54.1,49.4,39.6,22.9,16.0,53.6
1911,8.5,19.1,24.3,36.0,51.1,62.2,54.4,57.8,52.6,38.1,20.0,20.4,58.1
1912,-3.3,11.9,19.0,40.1,53.3,52.1,60.7,57.3,51.6,39.1,28.5,19.6,56.7
1913,9.7,11.0,19.7,34.3,42.3,53.3,60.2,61.2,49.9,36.7,32.8,24.8,58.2
1914,18.4,3.6,21.7,33.4,46.2,58.3,62.0,58.8,53.1,46.8,25.8,11.2,59.7
1915,11.5,23.4,22.6,46.2,44.6,52.7,57.5,54.9,51.5,40.7,28.9,17.6,55.0
1916,8.3,9.4,21.5,33.8,49.8,56.1,68.5,59.0,47.9,36.0,24.6,8.7,61.2
1917,5.6,4.7,23.0,31.7,32.4,52.7,61.4,53.5,50.2,30.3,33.6,7.0,55.9
1918,1.3,13.3,25.1,23.8,50.9,58.5,60.4,60.8,46.1,39.3,32.8,24.8,59.9
1919,18.7,12.3,24.0,36.2,40.7,61.8,61.3,55.3,50.5,35.0,20.9,7.1,59.5
1920,4.4,12.2,24.4,25.6,40.0,56.4,57.9,54.0,51.0,43.3,26.5,19.1,56.1
1921,17.1,18.7,24.9,35.6,46.3,59.7,61.8,57.0,51.4,38.7,21.7,16.1,59.5
1922,9.2,7.9,24.1,34.2,49.8,57.5,55.5,58.2,50.7,40.3,32.6,12.2,57.1
1923,13.6,6.6,13.1,31.9,40.3,58.7,61.1,53.5,50.2,33.7,28.0,20.0,57.8
1924,3.7,16.9,20.5,32.9,32.8,50.9,54.3,57.9,47.3,43.3,23.2,4.2,54.4
1925,9.4,16.1,21.4,33.4,35.7,56.6,56.6,55.5,53.6,28.6,23.5,13.1,56.2
1926,13.6,19.4,16.3,22.8,41.8,47.3,58.1,59.0,49.5,36.3,22.6,13.6,54.8
1927,11.4,19.1,26.9,34.0,42.5,52.5,54.7,49.9,53.7,40.8,23.7,5.4,52.4
1928,12.9,17.4,22.0,26.8,39.4,47.8,59.3,58.1,45.2,38.0,26.6,20.5,55.1
1929,-0.4,7.9,26.0,35.2,36.3,50.1,57.1,55.8,46.1,37.2,21.9,16.1,54.3
1930,3.7,22.8,18.8,32.1,43.6,53.5,59.0,53.4,44.9,39.2,27.8,19.9,55.3
1931,20.7,22.7,21.1,30.4,37.4,59.5,52.8,53.6,52.8,43.1,33.7,25.6,55.3
1932,15.7,16.6,16.3,31.8,44.2,54.8,57.4,54.9,44.5,32.7,22.0,13.8,55.7
1933,20.7,9.0,20.7,28.7,43.1,58.2,57.1,50.7,48.7,33.1,24.1,12.8,55.3
1934,17.1,12.2,16.1,26.5,37.6,53.3,55.0,51.5,48.6,41.6,31.0,13.2,53.3
1935,8.8,20.8,26.7,32.4,37.8,50.3,65.0,57.5,47.9,35.6,23.1,15.9,57.6
1936,3.5,-0.4,24.8,28.6,47.2,49.4,55.3,54.2,51.2,32.1,22.4,18.8,53.0
1937,3.5,11.8,20.1,33.8,44.0,51.4,57.8,61.6,46.4,33.8,21.9,13.7,56.9
1938,9.8,19.5,26.1,32.9,45.6,54.2,61.7,61.2,53.7,44.2,25.0,16.3,59.0
1939,18.5,7.7,23.4,30.2,47.7,59.0,61.2,59.1,50.7,35.5,27.1,20.9,59.8
1940,4.5,16.6,19.7,31.1,41.4,55.6,61.9,60.4,54.2,41.6,24.1,19.1,59.3
1941,14.3,11.1,22.6,42.1,49.5,58.2,61.4,58.5,53.3,43.5,29.1,21.3,59.4
1942,14.2,14.3,27.0,37.7,43.8,57.1,59.7,61.3,49.8,39.1,25.7,11.7,59.4
1943,2.3,15.6,18.2,32.6,45.2,62.3,65.3,63.5,49.2,37.9,26.0,17.6,63.7
1944,21.5,17.0,22.7,32.8,53.5,59.7,59.6,60.6,54.2,39.0,33.5,15.5,60.0
1945,7.5,15.6,33.9,34.3,40.0,51.5,59.3,63.4,51.5,36.4,26.2,8.0,58.1
1946,11.4,11.5,34.4,33.9,41.0,56.9,61.3,54.5,50.5,42.9,25.8,13.5,57.6
1947,15.1,7.2,22.0,34.4,40.7,53.9,58.6,64.9,52.7,47.6,22.4,12.9,59.1
1948,3.7,8.4,21.0,37.7,41.7,52.6,61.7,61.6,51.8,38.4,29.9,14.3,58.6
1949,7.7,8.0,22.2,32.3,45.9,58.2,62.8,60.5,46.7,40.2,29.1,15.1,60.5
1950,1.8,11.3,19.0,26.6,43.9,52.4,56.6,53.3,52.1,41.4,20.1,8.5,54.1
1951,3.1,13.6,16.7,32.4,46.6,52.3,58.9,58.8,48.9,40.7,19.2,10.7,56.7
1952,8.5,19.2,20.5,33.7,41.4,56.9,60.4,58.9,51.7,27.1,25.3,20.2,58.7
1953,13.2,14.4,24.0,29.2,43.7,58.0,60.0,61.3,46.0,41.4,29.2,17.9,59.8
1954,4.4,23.4,20.0,30.9,36.5,56.8,61.3,58.4,51.0,38.6,30.0,19.7,58.8
1955,9.5,10.1,20.0,37.6,44.4,52.2,65.9,61.8,47.1,39.7,19.8,7.8,60.0
1956,9.1,10.7,20.5,26.6,41.7,57.5,58.1,59.1,46.4,43.2,27.6,19.1,58.2
1957,2.7,14.0,21.3,31.0,41.3,53.1,65.7,60.0,48.4,39.7,26.8,18.2,59.6
1958,17.6,8.1,20.4,30.9,39.0,51.4,56.2,58.2,51.5,41.3,26.4,8.6,55.3
1959,3.1,11.4,20.1,25.8,48.0,54.9,57.4,65.7,52.7,37.0,18.2,25.7,59.3
1960,13.4,12.2,16.1,36.2,44.9,52.2,60.8,61.4,52.3,37.3,25.6,10.8,58.1
1961,5.3,19.4,26.0,27.4,39.7,55.5,61.0,62.6,51.6,42.1,26.6,9.8,59.7
1962,2.1,7.7,21.8,29.9,50.9,56.7,59.8,59.2,49.5,42.1,28.7,10.8,58.6
1963,-2.0,6.8,28.0,34.5,45.6,58.9,60.7,58.2,54.9,44.7,28.0,3.4,59.3
1964,15.1,14.0,17.2,32.8,47.5,54.0,61.0,55.9,52.5,38.1,29.8,11.8,57.0
1965,4.5,9.3,15.0,34.8,48.5,52.3,58.8,55.9,46.3,38.5,27.0,24.8,55.7
1966,-2.9,9.7,28.1,30.0,36.1,56.1,62.8,58.3,49.9,35.7,23.3,13.7,59.1
1967,9.9,3.2,22.7,33.2,35.2,56.0,57.4,54.6,48.9,36.5,22.0,15.1,56.0
1968,9.5,4.3,22.7,33.4,42.9,56.3,61.1,60.2,52.2,43.2,28.3,11.9,59.2
1969,4.4,13.6,18.3,38.5,46.1,48.8,61.5,59.4,49.6,37.2,27.6,18.0,56.6
1970,1.3,10.3,17.7,35.1,48.0,58.5,60.5,58.3,52.1,41.1,25.2,10.3,59.1
1971,-2.2,10.6,20.1,29.2,37.0,59.7,55.7,55.1,50.4,44.4,25.7,13.2,56.8
1972,-2.5,4.1,17.7,29.6,46.6,53.2,60.0,61.2,50.4,34.7,25.0,5.2,58.1
1973,11.4,15.2,28.7,31.0,40.2,53.3,59.1,62.4,49.9,44.0,26.1,11.6,58.3
1974,6.7,10.6,19.1,33.7,42.5,51.0,58.7,56.3,42.0,37.9,28.2,20.4,55.3
1975,10.7,11.0,18.0,30.5,46.0,57.8,60.5,60.2,47.7,37.7,28.4,14.7,59.5
1976,4.6,19.3,23.2,34.0,37.1,52.2,55.1,54.8,43.8,27.2,13.6,3.3,54.0
1977,-7.6,13.6,29.0,37.5,50.2,55.5,63.1,54.3,54.2,36.7,24.2,8.6,57.6
1978,-0.7,6.6,21.1,31.3,45.3,55.6,62.5,61.1,55.4,36.3,20.9,7.0,59.7
1979,-4.1,2.3,20.8,28.8,41.0,54.9,60.3,59.0,51.8,36.0,25.4,19.6,58.1
1980,7.8,8.7,15.1,29.7,39.9,53.3,57.3,59.2,49.9,32.3,25.1,10.6,56.6
1981,7.8,14.6,22.4,34.6,38.7,54.4,60.0,60.7,49.0,36.3,29.2,13.3,58.4
1982,-4.9,10.3,20.7,28.2,50.9,47.0,60.0,56.6,51.2,40.0,24.8,18.9,54.5
1983,15.4,25.0,28.8,31.6,43.7,59.3,66.0,65.3,52.5,42.0,29.1,-0.8,63.5
1984,6.5,20.9,14.5,27.4,38.9,58.9,57.2,60.3,45.9,41.4,20.5,11.0,58.8
1985,2.0,9.9,24.6,37.1,47.5,51.7,56.4,55.7,51.0,37.9,17.0,3.1,54.6
1986,13.4,12.9,26.1,35.8,46.1,54.8,64.0,57.1,52.8,41.9,22.9,21.7,58.6
1987,17.2,22.5,26.6,31.8,47.7,52.2,64.5,58.5,51.1,31.1,30.2,21.2,58.4
1988,5.8,6.4,22.9,27.0,44.6,53.8,56.3,59.4,49.2,29.4,26.9,14.5,56.5
1989,18.4,3.8,20.3,30.0,43.3,51.9,61.4,59.6,47.5,33.1,21.1,3.4,57.6
1990,18.7,13.9,23.3,30.2,41.1,57.1,59.3,60.6,53.2,34.4,24.8,10.8,59.0
1991,6.5,18.7,24.7,34.9,53.8,59.9,60.1,60.5,48.6,33.5,20.4,17.1,60.2
1992,18.3,21.6,24.0,32.3,40.3,50.4,55.6,54.2,50.6,35.3,24.9,16.1,53.4
